longitude,latitude,date,name
94.5121,26.3186,2011-06-20,Mokokchung
94.3591,25.1122,2015-01-08,Ukhrul
94.8885,28.9986,2012-05-07,Tuting
95.0283,26.7215,2010-07-19,Jahjon
88.2816,27.2872,2007-09-18,Geyzing
92.7146,23.7365,2010-06-08,Dawrpui
94.6055,26.1498,2013-04-08,Suruhuto
94.8422,26.148,2010-08-14,Tuensang
90.2167,25.5144,2011-08-16,Garo
94.1192,25.4993,2007-09-09,Mao
90.232,25.5212,2007-07-27,Tura
93.55,24.9667,2007-08-26,Tamenglong
94.4481,25.1941,2015-01-08,Ukhrul
94.1054,25.4196,2010-07-29,Senapati
94.13,25.83,2011-08-18,Botsa
93.4946,24.9926,2013-12-05,Khongsang
94.5512,26.3335,2010-06-15,Fazl
94.1162,25.4379,2007-10-19,Senapati
95.4149,28.3092,2010-03-10,Siang
94.6279,25.9466,2014-08-09,Kiphire
88.2891,27.2676,2016-12-10,Legship
94.6654,26.2753,2010-08-17,Dikhu
