system:index,date,elevation,landslide,ndvi,population,rain_1d,rain_30d,rain_7d,slope,soil_moisture,soil_type,.geo
1_00000000000000000088_74,2015-04-03,595.0,0,0.5869500000000001,18.04590034484864,0.0,107.83530659601092,88.1847403049469,3.894401782138583,0.4848836064338684,4.0,"{""type"":""Point"",""coordinates"":[90.2191009555238,25.508399053763483]}"
1_0000000000000000007c_0,2015-06-19,1084.0,1,0.66515,0.7727735042572021,15.426180839538574,451.2804508805275,161.98102223873138,3.238599414439065,0.5923081636428833,4.0,"{""type"":""Point"",""coordinates"":[93.68599851536533,25.160000570255654]}"
1_00000000000000000048_0,2016-01-05,878.0,1,0.78035,0.352379560470581,0.0,12.846570167690516,4.244673073291779,2.742126949632949,0.2104210704565048,7.0,"{""type"":""Point"",""coordinates"":[96.53160060722814,28.08220110001455]}"
1_0000000000000000001c_0,2015-06-24,1549.0,1,0.6434500000000001,3.880750894546509,2.3308913707733154,220.4172586202621,117.5946478843689,2.164178177821364,0.5999426245689392,4.0,"{""type"":""Point"",""coordinates"":[94.54660055957933,26.031901976539082]}"
2_457,2015-07-15,108.0,0,0.45765,0.2736758887767792,52.16312026977539,496.5257606469095,143.49381608888507,2.2022717051726497,0.5413044095039368,4.0,"{""type"":""Point"",""coordinates"":[90.75500800087985,25.241891726408163]}"
1_0000000000000000005d_83,2015-09-16,1759.0,0,0.5538000000000001,2.0288805961608887,9.636369705200195,267.2404603809118,54.81736707687378,9.10783193098852,0.4719158411026001,4.0,"{""type"":""Point"",""coordinates"":[94.11359955178446,25.623698029702435]}"
2_337,2015-07-15,0.0,0,,,,,,0.0,,,"{""type"":""Point"",""coordinates"":[89.71729823883268,21.102538995986237]}"
1_0000000000000000008b_80,2016-05-07,1549.0,0,0.6597000000000001,3.880750894546509,2.7699062824249268,276.49287272803485,88.46386856585741,2.164178177821364,0.5095253586769104,4.0,"{""type"":""Point"",""coordinates"":[94.52819784953175,26.010101431488785]}"
1_00000000000000000074_68,2015-07-17,1582.0,0,0.34225,51.78814315795898,1.586629867553711,377.3510142341256,161.7714856863022,2.100947005593099,0.4783457517623901,4.0,"{""type"":""Point"",""coordinates"":[91.89299844087579,25.582999814387634]}"
1_00000000000000000008_0,2015-09-06,130.0,1,0.6692,3.8294131755828857,5.365143299102783,418.5825086832047,76.12973856925964,1.0520111899308104,0.5133769512176514,4.0,"{""type"":""Point"",""coordinates"":[93.81600360657853,27.098701771666523]}"
1_0000000000000000008f_0,2015-11-08,539.0,1,0.905,0.2257672846317291,0.0,170.70774572715163,46.46524524688721,2.974927061353194,0.5448780059814453,4.0,"{""type"":""Point"",""coordinates"":[93.52910058569877,24.70160052286036]}"
1_00000000000000000011_0,2015-08-18,297.0,1,0.7664000000000001,14.618542671203612,38.29654693603516,316.26202211529016,58.79987326264381,3.27948007104488,0.5102825164794922,4.0,"{""type"":""Point"",""coordinates"":[90.2022990627544,25.5144991040046]}"
1_00000000000000000064_0,2015-08-19,240.0,1,0.4001,0.500613272190094,123.9542236328125,356.70215460658073,39.352863788604736,1.1002413014416228,0.5503724813461304,4.0,"{""type"":""Point"",""coordinates"":[92.38069924129327,25.141597860208083]}"
2_1014,2015-07-15,2497.0,0,0.58675,0.5012290477752686,9.915764808654783,231.20254883915183,8.004721902310848,8.676572891305433,0.4721828699111938,7.0,"{""type"":""Point"",""coordinates"":[92.27877166800933,27.3323881487765]}"
1_00000000000000000047_0,2015-08-16,1434.0,1,0.6939500000000001,0.0173854865133762,0.0509446747601032,527.2426156755537,3.35420242510736,6.42495643495213,0.3921946883201599,7.0,"{""type"":""Point"",""coordinates"":[96.92619983675073,27.88349909797195]}"
1_0000000000000000008b_36,2016-06-20,1549.0,0,0.38985,3.880750894546509,0.7702307105064392,288.45905653294176,99.13371515274048,2.164178177821364,0.5964120030403137,4.0,"{""type"":""Point"",""coordinates"":[94.52819784953175,26.010101431488785]}"
1_00000000000000000064_0,2015-08-19,240.0,1,0.4001,0.500613272190094,123.9542236328125,356.70215460658073,39.352863788604736,1.1002413014416228,0.5503724813461304,4.0,"{""type"":""Point"",""coordinates"":[92.38069924129327,25.141597860208083]}"
1_0000000000000000003c_50,2015-04-27,595.0,0,0.64425,18.04590034484864,0.0,220.98999337106943,104.57863903045654,3.894401782138583,0.5081762671470642,4.0,"{""type"":""Point"",""coordinates"":[90.21499412345356,25.511400028772453]}"
2_1119,2015-07-15,1184.0,0,0.49265,0.7222210764884949,28.88374900817871,253.11382159404457,70.66272213868797,5.878020323532681,0.5677733421325684,4.0,"{""type"":""Point"",""coordinates"":[94.19016347294925,25.011324398022435]}"
1_00000000000000000037_0,2015-08-19,1759.0,1,0.22725,2.0288805961608887,5.752781867980957,292.7888647764921,22.01874332129956,9.10783193098852,0.4858375191688537,4.0,"{""type"":""Point"",""coordinates"":[94.10510050517661,25.627800402671607]}"
1_00000000000000000064_0,2015-08-19,240.0,1,0.4001,0.500613272190094,123.9542236328125,356.70215460658073,39.352863788604736,1.1002413014416228,0.5503724813461304,4.0,"{""type"":""Point"",""coordinates"":[92.38069924129327,25.141597860208083]}"
1_00000000000000000074_0,2015-09-23,1582.0,1,0.48355,51.78814315795898,112.53922271728516,325.2088858783245,90.70881421864031,2.100947005593099,0.5146885514259338,4.0,"{""type"":""Point"",""coordinates"":[91.89299844087579,25.582999814387634]}"
1_00000000000000000048_50,2015-11-16,878.0,0,0.8249000000000001,0.352379560470581,0.8431351780891418,52.22367716114968,3.9626869559288025,2.742126949632949,0.2379305064678192,7.0,"{""type"":""Point"",""coordinates"":[96.53160060722814,28.08220110001455]}"
1_0000000000000000008b_0,2016-07-26,1549.0,1,0.1178,3.880750894546509,3.279857873916626,321.6503915935755,92.9951810836792,2.164178177821364,0.5548684597015381,4.0,"{""type"":""Point"",""coordinates"":[94.52819784953175,26.010101431488785]}"
1_0000000000000000005a_0,2015-08-26,782.0,1,0.6691,0.2525131106376648,6.558448791503906,339.32818884402514,102.18665373325348,2.461799520745203,0.3234198689460754,4.0,"{""type"":""Point"",""coordinates"":[93.05139708984314,23.844699532520718]}"
1_00000000000000000075_0,2016-04-22,3008.0,1,0.6067,2.003990173339844,4.047922611236572,79.29757755249739,16.48221303522587,11.209954374310223,0.4722912907600403,7.0,"{""type"":""Point"",""coordinates"":[91.85690201784814,27.579901202748083]}"
1_0000000000000000008b_57,2016-05-30,1549.0,0,0.62105,3.880750894546509,0.625869631767273,334.5160291558132,23.05375260766596,2.164178177821364,0.503343939781189,4.0,"{""type"":""Point"",""coordinates"":[94.52819784953175,26.010101431488785]}"
1_00000000000000000074_79,2015-07-06,1582.0,0,0.42865,51.78814315795898,38.097900390625,371.7149164453149,39.6179359331727,2.100947005593099,0.536226212978363,4.0,"{""type"":""Point"",""coordinates"":[91.89299844087579,25.582999814387634]}"
1_00000000000000000082_35,2016-09-10,1108.0,0,0.82245,2.0215811729431152,53.12278366088867,445.3500674800016,61.175816433969885,9.51161994581361,0.4570639133453369,4.0,"{""type"":""Point"",""coordinates"":[88.36640243613073,27.16949891909209]}"
1_00000000000000000062_0,2015-06-19,776.0,1,0.56405,18.58562088012696,4.426948547363281,254.6978082144633,77.16703417897224,3.661251905802795,0.2969174981117248,4.0,"{""type"":""Point"",""coordinates"":[92.73619661367819,23.713102542231425]}"
1_0000000000000000008f_0,2015-11-08,539.0,1,0.905,0.2257672846317291,0.0,170.70774572715163,46.46524524688721,2.974927061353194,0.5448780059814453,4.0,"{""type"":""Point"",""coordinates"":[93.52910058569877,24.70160052286036]}"
1_0000000000000000003e_0,2015-07-31,1432.0,1,0.6089,0.5501265525817871,31.435523986816406,261.23073375225067,40.67752349376679,1.715603752757866,0.588850736618042,4.0,"{""type"":""Point"",""coordinates"":[94.35510446483909,24.818999735395487]}"
1_00000000000000000084_0,2016-07-28,1446.0,1,0.60855,0.9696077704429626,11.87291431427002,431.7807502448559,77.95874711871147,2.828578836682584,0.5082319974899292,4.0,"{""type"":""Point"",""coordinates"":[93.37830270627335,23.53970147956607]}"
1_00000000000000000011_89,2015-05-21,297.0,0,0.70645,14.618542671203612,13.093916893005373,399.3820917084813,44.96922108530998,3.27948007104488,0.5245336294174194,4.0,"{""type"":""Point"",""coordinates"":[90.2022990627544,25.5144991040046]}"
1_00000000000000000046_77,2015-08-23,412.0,0,0.49615,0.3851194977760315,40.54536056518555,533.8103801012039,73.06739318370819,2.6090928099123336,0.4752486646175384,4.0,"{""type"":""Point"",""coordinates"":[93.42510097182925,24.74589723272529]}"
1_00000000000000000008_0,2015-09-06,130.0,1,0.6692,3.8294131755828857,5.365143299102783,418.5825086832047,76.12973856925964,1.0520111899308104,0.5133769512176514,4.0,"{""type"":""Point"",""coordinates"":[93.81600360657853,27.098701771666523]}"
1_00000000000000000082_0,2016-10-15,1108.0,1,0.8697,2.0215811729431152,0.0,499.5311100929976,51.90026432275772,9.51161994581361,0.4329422116279602,4.0,"{""type"":""Point"",""coordinates"":[88.36640243613073,27.16949891909209]}"
2_554,2015-07-15,4569.0,0,0.4615,0.0157337188720703,0.3925502598285675,34.519332526251674,7.120415596291423,2.265058143639051,0.312919557094574,9.0,"{""type"":""Point"",""coordinates"":[90.66653745569381,27.971091832388193]}"
1_00000000000000000011_0,2015-08-18,297.0,1,0.7664000000000001,14.618542671203612,38.29654693603516,316.26202211529016,58.79987326264381,3.27948007104488,0.5102825164794922,4.0,"{""type"":""Point"",""coordinates"":[90.2022990627544,25.5144991040046]}"
1_00000000000000000084_0,2016-07-28,1446.0,1,0.60855,0.9696077704429626,11.87291431427002,431.7807502448559,77.95874711871147,2.828578836682584,0.5082319974899292,4.0,"{""type"":""Point"",""coordinates"":[93.37830270627335,23.53970147956607]}"
1_0000000000000000003e_25,2015-07-06,1432.0,0,0.542,0.5501265525817871,11.639752388000488,211.6914649270475,43.2274971306324,1.715603752757866,0.588850736618042,4.0,"{""type"":""Point"",""coordinates"":[94.35510446483909,24.818999735395487]}"
1_0000000000000000003c_13,2015-06-03,595.0,0,0.63415,18.04590034484864,0.0,605.7872321978211,200.41946247965092,3.894401782138583,0.5492924451828003,4.0,"{""type"":""Point"",""coordinates"":[90.21499412345356,25.511400028772453]}"
1_00000000000000000031_0,2016-07-25,1491.0,1,0.4852,6.499429702758789,32.29165267944336,389.4893795847893,50.34216928482056,4.058289742861287,0.6135958433151245,4.0,"{""type"":""Point"",""coordinates"":[94.1382985125195,25.47999903915409]}"
1_0000000000000000008c_13,2015-09-01,729.0,0,0.42575,42.22117233276367,21.555191040039062,289.4525038730353,88.73767173290253,2.981040342479487,0.1080538779497146,4.0,"{""type"":""Point"",""coordinates"":[92.71869464204343,23.734800527957493]}"
1_0000000000000000008f_0,2015-11-08,539.0,1,0.905,0.2257672846317291,0.0,170.70774572715163,46.46524524688721,2.974927061353194,0.5448780059814453,4.0,"{""type"":""Point"",""coordinates"":[93.52910058569877,24.70160052286036]}"
1_0000000000000000008d_0,2016-07-28,3008.0,1,0.5223,2.003990173339844,5.218472480773926,157.8717516362667,93.85433411598206,11.209954374310223,0.677051305770874,7.0,"{""type"":""Point"",""coordinates"":[91.86440222582004,27.574799991142942]}"
1_00000000000000000084_1,2016-07-27,1446.0,0,0.4207,0.9696077704429626,2.943193197250366,429.44689604640007,78.40410134196281,2.828578836682584,0.5082319974899292,4.0,"{""type"":""Point"",""coordinates"":[93.37830270627335,23.53970147956607]}"
1_00000000000000000034_21,2015-10-18,815.0,0,0.9027,0.1229956746101379,0.037891399115324,290.1998663470149,23.877313248813152,0.7394900442621859,0.3884697556495666,4.0,"{""type"":""Point"",""coordinates"":[93.37290273489762,25.101898483529247]}"
1_00000000000000000084_0,2016-07-28,1446.0,1,0.60855,0.9696077704429626,11.87291431427002,431.7807502448559,77.95874711871147,2.828578836682584,0.5082319974899292,4.0,"{""type"":""Point"",""coordinates"":[93.37830270627335,23.53970147956607]}"
1_00000000000000000031_0,2016-07-25,1491.0,1,0.4852,6.499429702758789,32.29165267944336,389.4893795847893,50.34216928482056,4.058289742861287,0.6135958433151245,4.0,"{""type"":""Point"",""coordinates"":[94.1382985125195,25.47999903915409]}"
1_00000000000000000066_0,2016-10-15,984.0,1,0.7977000000000001,5.482244491577148,0.0,332.5008774623275,35.74320511519909,4.622740437099115,0.4856054782867431,7.0,"{""type"":""Point"",""coordinates"":[88.529199756491,27.17200047478307]}"
1_00000000000000000008_0,2015-09-06,130.0,1,0.6692,3.8294131755828857,5.365143299102783,418.5825086832047,76.12973856925964,1.0520111899308104,0.5133769512176514,4.0,"{""type"":""Point"",""coordinates"":[93.81600360657853,27.098701771666523]}"
1_00000000000000000048_0,2016-01-05,878.0,1,0.78035,0.352379560470581,0.0,12.846570167690516,4.244673073291779,2.742126949632949,0.2104210704565048,7.0,"{""type"":""Point"",""coordinates"":[96.53160060722814,28.08220110001455]}"
1_00000000000000000084_60,2016-05-29,1446.0,0,0.7137,0.9696077704429626,0.0166535545140504,312.16964810108766,27.15532418480143,2.828578836682584,0.5887714624404907,4.0,"{""type"":""Point"",""coordinates"":[93.37830270627335,23.53970147956607]}"
1_00000000000000000048_51,2015-11-15,878.0,0,0.82915,0.352379560470581,0.7113657593727112,55.563958588056266,3.565036654472351,2.742126949632949,0.2487894743680954,7.0,"{""type"":""Point"",""coordinates"":[96.53160060722814,28.08220110001455]}"
1_00000000000000000066_0,2016-10-15,984.0,1,0.7977000000000001,5.482244491577148,0.0,332.5008774623275,35.74320511519909,4.622740437099115,0.4856054782867431,7.0,"{""type"":""Point"",""coordinates"":[88.529199756491,27.17200047478307]}"
1_0000000000000000007c_9,2015-06-10,1084.0,0,0.6529,0.7727735042572021,46.5694694519043,286.6070220572874,102.54702487587927,3.238599414439065,0.4246691167354584,4.0,"{""type"":""Point"",""coordinates"":[93.68599851536533,25.160000570255654]}"
2_1022,2015-07-15,569.0,0,0.40285,0.0669809952378273,2.7442526817321777,625.3589245676994,90.94842338562012,3.2535525926430453,0.5483711957931519,4.0,"{""type"":""Point"",""coordinates"":[93.49644829925599,20.674137822159125]}"
2_349,2015-07-15,405.0,0,0.643,0.0309549681842327,26.192256927490234,252.62244328856468,72.93470591306686,0.1866360260202001,0.4612170755863189,4.0,"{""type"":""Point"",""coordinates"":[95.95058846226011,26.368153156946537]}"
1_0000000000000000008c_0,2015-09-14,729.0,1,0.4927,42.22117233276367,54.83388519287109,314.9794540833682,53.07415550947189,2.981040342479487,0.1416346579790115,4.0,"{""type"":""Point"",""coordinates"":[92.71869464204343,23.734800527957493]}"
1_00000000000000000034_0,2015-11-08,815.0,1,0.8966500000000001,0.1229956746101379,0.0,162.20203328505158,33.67713886499405,0.7394900442621859,0.4308764338493347,4.0,"{""type"":""Point"",""coordinates"":[93.37290273489762,25.101898483529247]}"
1_0000000000000000005a_0,2015-08-26,782.0,1,0.6691,0.2525131106376648,6.558448791503906,339.32818884402514,102.18665373325348,2.461799520745203,0.3234198689460754,4.0,"{""type"":""Point"",""coordinates"":[93.05139708984314,23.844699532520718]}"
1_00000000000000000084_62,2016-05-27,1446.0,0,0.7137,0.9696077704429626,0.0050085023976862,310.273971802555,180.59713069628924,2.828578836682584,0.5887714624404907,4.0,"{""type"":""Point"",""coordinates"":[93.37830270627335,23.53970147956607]}"
1_00000000000000000070_17,2015-07-05,1506.0,0,0.419,0.6439937353134155,15.638021469116213,265.8990066945553,20.47105175256729,6.65313874084275,0.5696877837181091,4.0,"{""type"":""Point"",""coordinates"":[93.87940310535643,25.509799211494265]}"
1_00000000000000000058_56,2015-06-23,634.0,0,0.7270500000000001,0.8617247939109802,37.63800811767578,898.1660767383873,308.7002620697021,3.2548987280345587,0.5615575909614563,4.0,"{""type"":""Point"",""coordinates"":[94.75959843959929,28.173701853631265]}"
2_671,2015-07-15,21.0,0,0.5491,33.44961929321289,7.840033054351807,383.27355510310736,111.73878814966884,0.0174560972599682,0.4433039128780365,4.0,"{""type"":""Point"",""coordinates"":[88.23861346015195,24.116666689447673]}"
1_0000000000000000002c_0,2015-08-26,1106.0,1,0.5315500000000001,0.2307460010051727,9.06180191040039,969.1016721762716,285.7018928527832,1.4516296734089102,0.2854285538196563,4.0,"{""type"":""Point"",""coordinates"":[92.78780179016972,23.357199391650646]}"
2_1545,2015-07-15,3479.0,0,0.56655,0.0204766988754272,0.4275084137916565,139.05496515333652,19.124691009521484,6.740265587761421,0.4108738899230957,7.0,"{""type"":""Point"",""coordinates"":[94.20319266991436,29.769467467817766]}"
1_0000000000000000003e_0,2015-07-31,1432.0,1,0.6089,0.5501265525817871,31.435523986816406,261.23073375225067,40.67752349376679,1.715603752757866,0.588850736618042,4.0,"{""type"":""Point"",""coordinates"":[94.35510446483909,24.818999735395487]}"
2_225,2015-07-15,0.0,0,,,,,,0.0,,,"{""type"":""Point"",""coordinates"":[92.74511620231065,20.002318027546384]}"
1_00000000000000000047_0,2015-08-16,1434.0,1,0.6939500000000001,0.0173854865133762,0.0509446747601032,527.2426156755537,3.35420242510736,6.42495643495213,0.3921946883201599,7.0,"{""type"":""Point"",""coordinates"":[96.92619983675073,27.88349909797195]}"
1_00000000000000000067_34,2015-08-11,729.0,0,0.4163,42.22117233276367,12.177408218383787,465.1226556301117,51.8425789475441,2.981040342479487,0.260112464427948,4.0,"{""type"":""Point"",""coordinates"":[92.71869464204343,23.731300133630537]}"
1_00000000000000000025_0,2015-07-24,1025.0,1,0.3001,4.959498882293701,13.923884391784668,796.1194701194763,353.29812145233154,3.934321555204825,0.5136972069740295,4.0,"{""type"":""Point"",""coordinates"":[93.51419826997817,24.98180151485679]}"
1_00000000000000000011_0,2015-08-18,297.0,1,0.7664000000000001,14.618542671203612,38.29654693603516,316.26202211529016,58.79987326264381,3.27948007104488,0.5102825164794922,4.0,"{""type"":""Point"",""coordinates"":[90.2022990627544,25.5144991040046]}"
1_0000000000000000007c_54,2015-04-26,1084.0,0,0.58345,0.7727735042572021,3.634708166122437,232.3669651895761,64.24435305595398,3.238599414439065,0.5724474191665649,4.0,"{""type"":""Point"",""coordinates"":[93.68599851536533,25.160000570255654]}"
1_0000000000000000008b_20,2016-07-06,1549.0,0,0.3603,3.880750894546509,19.812719345092773,364.0590991154313,129.22312355041504,2.164178177821364,0.5525313019752502,4.0,"{""type"":""Point"",""coordinates"":[94.52819784953175,26.010101431488785]}"
1_0000000000000000001c_20,2015-06-04,1549.0,0,0.6109,3.880750894546509,1.1379954814910889,139.59558050334454,16.093790501356125,2.164178177821364,0.4371435344219208,4.0,"{""type"":""Point"",""coordinates"":[94.54660055957933,26.031901976539082]}"
1_0000000000000000005d_0,2015-12-08,1759.0,1,0.7896500000000001,2.0288805961608887,0.3403719365596771,11.717608286533505,1.8672712054103613,9.10783193098852,0.4032615423202514,4.0,"{""type"":""Point"",""coordinates"":[94.11359955178446,25.623698029702435]}"
1_00000000000000000046_0,2015-11-08,412.0,1,0.8601000000000001,0.3851194977760315,0.0,182.18688974529505,44.763631105422974,2.6090928099123336,0.3860853910446167,4.0,"{""type"":""Point"",""coordinates"":[93.42510097182925,24.74589723272529]}"
1_0000000000000000008c_61,2015-07-15,729.0,0,0.38725,42.22117233276367,33.98750305175781,359.11620618775487,113.4349141381681,2.981040342479487,0.1177563071250915,4.0,"{""type"":""Point"",""coordinates"":[92.71869464204343,23.734800527957493]}"
1_0000000000000000002c_0,2015-08-26,1106.0,1,0.5315500000000001,0.2307460010051727,9.06180191040039,969.1016721762716,285.7018928527832,1.4516296734089102,0.2854285538196563,4.0,"{""type"":""Point"",""coordinates"":[92.78780179016972,23.357199391650646]}"
1_0000000000000000008b_0,2016-07-26,1549.0,1,0.1178,3.880750894546509,3.279857873916626,321.6503915935755,92.9951810836792,2.164178177821364,0.5548684597015381,4.0,"{""type"":""Point"",""coordinates"":[94.52819784953175,26.010101431488785]}"
1_0000000000000000007c_0,2015-06-19,1084.0,1,0.66515,0.7727735042572021,15.426180839538574,451.2804508805275,161.98102223873138,3.238599414439065,0.5923081636428833,4.0,"{""type"":""Point"",""coordinates"":[93.68599851536533,25.160000570255654]}"
1_00000000000000000005_30,2015-04-24,2448.0,0,0.3228,0.0281807817518711,1.6739414930343628,83.09305880963802,9.874900937080383,10.069018938222223,0.2320166230201721,9.0,"{""type"":""Point"",""coordinates"":[88.65859840996093,27.616300844647363]}"
1_00000000000000000062_0,2015-06-19,776.0,1,0.56405,18.58562088012696,4.426948547363281,254.6978082144633,77.16703417897224,3.661251905802795,0.2969174981117248,4.0,"{""type"":""Point"",""coordinates"":[92.73619661367819,23.713102542231425]}"
1_00000000000000000045_0,2015-08-19,1412.0,1,0.41605,0.8273353576660156,1.1261811256408691,262.8162403330207,4.382797531783581,5.972905855764185,0.2923885881900787,4.0,"{""type"":""Point"",""coordinates"":[94.52240101816228,26.021400793558218]}"
